Термин,Определение,Категория,Источник
Binary,"Our normal number system, Decimals, is based on powers of 10 (hence 100 = 102, 1,000 = 103) and employs positional notation, i.e. the decimal number 48,037 is equal to: 4 × 104 + 8 × 103 + 0 × 102 + 3 × 101 + 7 × 100 (noting of course that anything to the power 0 is equal to 1).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#binary
Business Intelligence,"There is no ISO definition, but I use this term as a catch-all to describe the transformation of raw Data into Information that can be disseminated to business people to support decision-making.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#bi
Bubble Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#bubble-chart
Boosting [Machine Learning],See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#boosting
Bot,See: Robot.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#bot
Business Analyst (BA),"Business Analysts are people who focus on gathering requirements for the development of IT systems (or networks of such systems), changes to existing ones, or to guide the implementation of commercially available software. The level of technical ability that a BA possesses can vary immensely and some may have no experience of either design or coding, whereas others may be quite technically proficient. However, it is more important that the BA has a strong background in processes as it is business processes that generally need to be better supported (or introduced) as a result of their work. If a BA also has design skills, this can help to smooth the handover of work to internal IT or third party staff.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#business-analyst
Business Glossary,Contributor: Tenny Thomas Soman,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#business-glossary
CAO,See: Chief Analytics Officer.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#cao
Cartogram,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#cartogram
Cassandra,"More properly Apache Cassandra. Cassandra is a distributed file system (like HDFS), but which is targeted more at operational scenarios. As such it supports higher availability than HDFS. Rather than Google, Cassandra was originally a Facebook technology.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#cassandra
CDO,See: Chief Data Officer.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#cdo
Chart (Graph),A Chart is a way to organise and Visualise Data with the general objective of making it easier to understand and – in particular – to discern trends. Below is presented – in alphabetic order – a selection of frequently used Chart types:,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#chart
Note:,"Throughout I use the word “category” to refer to something discrete that is plotted on an axis, for example France, Germany, Italy and The UK, or 2016, 2017, 2018 and 2019. I use the word “value” to refer to something more continuous plotted on an axis, such as sales or number of items etc. With a few exceptions, the Charts described below plot values against categories. Both Bubble Charts and Scatter Charts plot values against other values.",Analytics,None
Chief Analytics Officer (CAO),"An executive charged with most aspects of exploitation of Data in an organisation. Areas typically owned by a CAO would include: Data Science, Data Visualisation, Predictive Analytics, Business Intelligence and sometimes both a Data Service and Regular Reporting. A CAO would not normally be accountable for the control of Data (e.g. Data Governance), with this side of the Data arena owned by a Chief Data Officer. However, either the CAO or the CDO could be the top Data job, with accountability across the whole Data landscape.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#chief-analytics-officer
Chief Data Officer (CDO),"The person fulfilling the top Data job in an organisation and accountable for how Data is both controlled and leveraged in pursuit of executing the organisation’s strategy. The CDO is a business role, but with significant technical experience. It most typically reports to the Chief Operating Officer, but other potential structures could see this role reporting to any number of other top-level CxO roles, including directly to the CEO.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#chief-data-officer
Clickstream Analysis (Clickstream Analytics),"A Clickstream is essentially the path that someone browsing a web-site takes through its pages and sections. For a given user (either one logged in to their account and thus tagged with a persistent ID, or a casual visitor, who is typically allocated a one-off ID), it includes actions (such as clicking on a link to another part of the site, clicking on a link to another part of the Internet – e.g. an advertiser, or closing the site) and the time at which these occurred, together with technical information, such as how quickly a page was displayed to a user.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#clickstream-analysis
Clustering,See Model.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#clustering
Column Chart,See Chart.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#column-chart
Columnar Database (Column-oriented Database),"In a Relational Database all sales would be gathered into a single Table (or set of related tables). The row is the primary entity in such a Database. Each row of our sales table would have columns such as customer name, product purchased etc. A columnar version of the same Database swaps the emphasis. One structure would have all the customer entries stored together, another all the products. This greatly speeds up the look-up of specific attributes.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#columnar-database
Column-oriented Database,See Columnar Database.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#column-oriented-database
Complex Event Processing,"This is a way to monitor streams of Data from more than one source, often in real-time, in order to identify threats, opportunities or simply just patterns. An example might be connecting Social Media Sentiment Analysis with the content of call-centre conversations. This might lead to the deduction that these is either an uptick in demand for an organisation’s products or services or that there might be some reputational issue that could have an adverse impact. Some automated trading algorithms in Financial Services might use elements of CEP to identify buy or sell opportunities related to real world events.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#cep
Computer Vision,See: Image Recognition.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#computer-vision
Conformed Data (Conformed Dimension),"Conformed can almost be viewed as a synonym for standardised. Conformed Data is data which means precisely the same thing in all parts of a Data Repository. So, if there are separate Files or Tables providing customer details, which have different records, or different values within records, then customer data is not conformed. In a more technical sense, pertaining to Data Warehousing, a Conformed Dimension is one which plays exactly the same role for all Fact Tables.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#conformed-dimension
Conformed Dimension,See: Conformed Data.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#conformed-data
CRM,See: Customer Relationship Management.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#crm
Customer Relationship Management (CRM),"A class of systems designed to support interactions with customers (often in a call-centre and/or sales organisation setting). Because Customer Data is just one class of Data, CRM systems need to be closely integrated with both Systems of Record and Data repositories in order to be accurate and to avoid duplicate entry of Data.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#customer-relationship-management
Cube,See Multidimensional Approach.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#cube
Dashboard,"A Dashboard is a single page or pane (often a web-page) which simultaneously displays multiple different measurements of the performance of an organisation or sub-unit of this (division, department, geographic territory). The Information is generally at a high-level (with the ability to look into more details if required) and at least some of it may be presented in graphical form (e.g. charts, traffic lights, dials and more advanced Data Visualisations).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#dashboard
Data,"Originally the plural form of the Latin word datum. In itself, datum is a past participle of the Latin verb dare (do, dare, dedi, datus) meaning “to give”; hence words like “donor” and “donate” in English and donner, which is the verb “to give” in French (English “give” comes instead from the German geben).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data
Data Analyst,"A person who analyses Data. Once more there is no ISO definition, Data Scientists analyse Data, Data Miners analyse Data, Data Modellers analyse Data, Catastrophe Modellers analyse Data and so do a wide range of other people. Here I will use the term Data Analyst to apply to the non-statistical analysis of Data. So a Data Analyst would be involved in sourcing Data, combining different Data sets, cleansing or otherwise filtering Data and producing analyses and graphical exhibits based on it. However such work would fall short of building models from the Data, applying algorithms or other statistical techniques (most Data Analysts could do a simple linear regression if necessary, so the boundaries are not sharp). Such work would tend to be ad hoc. If an analysis becomes one that is needed periodically, the specification would be handed to other staff to productionalise it.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-analyst
Data Asset,"In accounting, an Asset is a possession of a company that has intrinsic value, for example, unpaid sales invoices, buildings, computer equipment or indeed goodwill. Data Assets are Data owned by a company that also has intrinsic value. This could be because such Data helps to better pilot the organisation, provides Insights that allow the development of new products or markets, allows customers to be better served, or a hundred other things. In some cases, rather than the preceding, which are all essentially intangible assets, Data may have an actual market price, making it all too tangible.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-asset
Data Audit,"This describes a physical, automated, or (most frequently) mixed review of Data held in either a specific System or Database, or a collection of these forming part or all of an overall systems landscape. The output of this will be varied, potentially systematically highlighting specific Database-level errors or omissions (e.g. missing customer consent fields), pointing out more general issues with the validation of Data on entry or interface, mentioning weaknesses in processes or education and also commenting on any Architectural problems. It is likely that, as well as more granular content, a Data Audit will include some high-level indication of Data health, such as a Red/Amber/Green (RAG) assessment, or commentary as to the current state.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-audit
Data Architecture,"(1) The practice of determining business needs, modelling these and mapping them to appropriate Data structures, systems landscapes and integration / interface strategies. Data Architects generally have an in-depth understanding of Data and its usage and so can be more technologically experienced than some architects in other fields.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-architecture
Database,"While it could be argued that this term could be applied to analogue systems such as index cards at a physical library, it is generally taken to refer software that enables the storage and retrieval of numbers and text in digital format, i.e. Data. Databases differ from Flat-files in that they often contain structures (e.g. Tables, Views and indexes) intended to facilitate these tasks and come with tools that enable the efficient management and manipulation of the Data they contain.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#database
Data Business Analyst,"A person who has extensive understanding of both business processes and the Data necessary to support these. A Business Analyst is expert at discerning what people need to do. A Data Analyst is adept at working with Datasets and extracting meaning from them. A Data Business Analyst can work equally happily in both worlds at the same time. When they talk to people about their requirements for Information, they are simultaneously updating mental models of the Data necessary to meet these needs. When they are considering how lightly-documented Datasets hang together, they constantly have in mind the business purpose to which such resources may be bent.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-business-analyst
Data Capability,"For once the term Data Capability is very close to the everyday meaning of the work “capability”, which relates to having the power, aptitude or know-how to accomplish something. So the Data Capabilities of an organisation reflect its abilities to drive positive outcomes relating to data; e.g. the availability of timely, accurate and pertinent Information is predicated, in part, on competencies in areas such as Data Quality, Data Integration and Data Visualisation.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-capability
Data Capability Assessment,See Data Capability Review.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-capability-assessment
Data Capability Framework (Data Capability Model),"A framework, often visual, organising Data Capabilities into a hierarchy. This may often be in the context of work to assess existing Data Capabilities or desired future ones.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-capability-framework
Data Capability Model,See: Data Capability Framework.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-capability-model
Data Capability Review (Data Capability Assessment),"A structured process aimed at assessing the current Data Capabilities of an organisation (generally against a Data Capability Framework), the desired future Data Capabilities, or both. The current state assessment will identify strengths, weaknesses, opportunities and risks associated with the data landscape (cf. Data Maturity); often accompanied by recommended actions. Such work is often an element of broader activities to create a Data Strategy.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-capability-review
Data Catalogue,"[US: Data Catalog] A Data Catalogue is a mechanism for indexing, tagging and documenting sets of data in a Data Repository (typically a Big Data one, such as a Data Lake) that supports searching and typically will also have facilities for users to rate or comment on data-sets, providing assistance to future users in their searches. The overall concept is not very far away from Amazon’s on-line store.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-catalogue
Data Category,See Data Classification.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-category
Data Classification (Data Category),"This refers to categorising – and sometimes tagging – Data in order to separate out what it is used for, how it is treated, where it is stored and a variety of other purposes. A canonical classification might be to do with elements of Security or Privacy, with Data being split into, say, highly sensitive (e.g. medical records), confidential (e.g. contracts and maybe certain transactions), personally identifiable (e.g. names and contact details) and less restrictive categories, including even publicly available. A further classification might apply different archival and retention timeframes to different types of Data. Classification could also be for technical reasons, like ensuring that frequently used Data has its speed of access optimised.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-classification
Data Cleansing,"At the positive end of things, this can refer to the harmless (and useful) activity of de-duplicating records, fixing inconsistencies in capitalisation, quarantining Data with issues for later review and so on. At the other end of the spectrum we have less helpful (and often harmful) activities that could include picking values to fill empty fields, permanently excluding records, or recalculating figures according to some improved formula. In the author’s opinion, these all present a slippery slope leading to Data massaging and should be either used very sparingly or avoided altogether.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-cleansing
Data Community,"An organisation-wide “coalition of the willing” encompassing a wide range of people who work with data in their day-to-day jobs. This would include members of a formal Data Function, but also people like Management Information analysts, report writers, geospatial analysts, people engaged in Statistical Modelling, Excel jockeys and all types of Data Wranglers drawn from all over the organisation, both geographically and by function. The idea here is that there tends to be a large number of people involved in using data and it makes sense to help each other out. Data Communities can also be vehicles for nudging an organisation towards sensible common standards and methodologies and even common tooling.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-community
Data Consistency,"Rather tautologically, this refers to consistency of Data; which has a connection to Data Integrity. This may be at various levels. At an overall architectural level, an example might be that sales from a Retail system are properly reflected in an Accounting system, or in an underlying Database. Also where, for speed of access, the same Data is mirrored to different Databases (e.g. in different countries), Data Consistency would relate to ensuring that changes to one local copy are reflected in all other copies and maybe a central master. Data Consistency can also be at the level of a single Database, with Referential Integrity being an example from the world of Relational Databases.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-consistency
Data Controller,"Under GDPR, a Data Controller is an organisation who is accountable for the collection, storage, use and deletion of data belonging to individuals, known as Subjects. The Data Controller would have the primary relationship with the Subject and determines the use of the Subject’s data, but they may cede the actual processing of data to a third party, known as a Data Processor.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-controller
Data Controls,These form one aspect of overall Information and Data Governance as well as being related to each of:,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-controls
Data Curation,Contributor: Tenny Thomas Soman,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-curation
Data Democratisation,"This describes a process of making Data (and Information) more widely available in an organisation and, in particular, to non-specialist staff. Such a process is necessary where previously specific IT skills and security rights were necessary in order to access Data. Of course such access needs to come will appropriate controls from a Security and regulatory perspective.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-democratisation
Data Dictionary,"No, this is not a self-referential definition (this page is actually more accurately described as a Data Glossary in any case). Instead a Data Dictionary is a set of entries describing the elements of a Database (or part of it). For a Relational Database, this would include Tables, Views and perhaps indeces. Considering the example of a Table, the Data Dictionary would include:",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-dictionary
Data Discovery,"A process by which generally numerate, but not necessarily technical, staff are able to explore (generally Curated) Datasets, perform their own analyses and create their own reports. This term can also refer to interactions with facilities such as highly parameterisable reports or customisable Dashboards in order to develop a personally-relevant view of Information. Data Discovery often relies upon good Metadata.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-discovery
Data Discovery,"A process by which generally numerate, but not necessarily technical, staff are able to explore (generally Curated) Datasets, perform their own analyses and create their own reports. This term can also refer to interactions with facilities such as highly parameterisable reports or customisable Dashboards in order to develop a personally-relevant view of Information. Data Discovery often relies upon good Metadata.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-discovery
Data Domain,Contributor: Taru Väre,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-domain
Data Domain,Contributor: Taru Väre,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-domain
Data Driven,"An epithet often applied to the situation where the operations of an organisation are guided by reliable, timely and pertinent Insight and Information at both a strategic and day-to-day level. In a Data Driven organisation, data is at the heart of everything, rather than an occasionally useful side activity.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-driven
Data Driven,"An epithet often applied to the situation where the operations of an organisation are guided by reliable, timely and pertinent Insight and Information at both a strategic and day-to-day level. In a Data Driven organisation, data is at the heart of everything, rather than an occasionally useful side activity.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-driven
Data Engineering,"Essentially a support function for Data Science. If you consider the messy process of sourcing Data, loading it into a repository, cleansing, filling in “holes”, combining disparate Data and so on, this is a somewhat different skill set to then analysing the resulting Data. Early in the history of Data Science, the whole process sat with Data Scientists. Increasingly nowadays, the part before actual analysis begins is carried out by Data Engineers. These people often also concern themselves with aspects of Master Data Management and Data Architecture.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-engineering
Data Enrichment,"Data Enrichment describes the process of merging datasets to create a new and more valuable set of data. Typically external data (for example demographic data) may be combined with internal transactional data to (again for example) allocate customers to a specific demographic category. Or external mapping data might be combined with a customer’s post code (zip code) data in order to place their residence on a Data Visualisation. In either case, you end up with a dataset that can be used in ways that the original could not.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-enrichment
Data Ethics,"The practices and policies of an organisation that ensure that Data is used not only in a way that is compliant with regulations, but in an ethical manner; generally one that would stand up to external scrutiny. This involves questions such as: “Is customer Data used in a manner that the customer would approve of?”, “How do we use Data to provide better products or services to our customers without appearing intrusive or manipulative?” and “What decisions relating to business partners do we make using Data and what principles underpin these?”",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-ethics
Data Federation,Data Federation is a type of Data Virtualisation. What Data Federation typically does in addition to vanilla Virtualisation is to apply a consistent Data Model across the different source Databases.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-federation
Data Function,"A Data Function is a team of people dedicated to taking all aspects of the data arena forward at an organisation. Such teams will have responsibilities ranging from Data Science and Machine Learning; to Analytics, Business Intelligence and Data Visualisation; to Data Governance, Data Management and Data Quality improvement. These areas will be underpinned by a focus on Data Strategy (development and execution), Data Architecture and Data Operating Model. In some organisations, the members of a Data Function are co-located; in others the team is spread across multiple offices or indeed countries. There are advantages and drawbacks to both arrangements, but in either case the Data Function needs to operate as a cohesive whole. Equally, in some organisations, the Data Function will have direct responsibility for all aspects of data; whereas in others, such responsibility may be shared with other groups, e.g. analytics teams embedded in business functions, the Risk department or parts of the IT organisation.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-function
Data Governance,"The management processes, policies and standards necessary to ensure that Data captured or generated within an organisation is of an appropriate standard to use, represents actual business facts and has its integrity preserved when transferred to repositories (e.g. Data Lakes and / or Data Warehouses, General Ledgers etc.), especially when this transfer involves aggregation or merging of different Data sets. The activities that Data Governance has oversight of include the operation of and changes to Systems of Record and the activities of Data Management and Analytics departments (which may be merged into one unit, or discrete but with close collaboration).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-governance
Data Governance Committee,A Data Governance Committee is a group of people who are collectively accountable for (amongst other things):,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-governance-committee
Data Governance Framework,"Generically a framework is a structure within which you place things in order that they form a coherent part of an overall whole. Similarly, a Data Governance Framework is the aggregation of organisation structures, processes, controls and sometimes systems that support Data Governance. From an organisational point of view, a network of Data Owners and Data Stewards (together with the forums they interact in) would play a central role in such a framework. Processes such as the peer-review of entered data or the training of new starters in how to use an organisation’s systems would also contribute. A robust approach to Data Issue Management would also be a typical framework element. Activities such as Data Classification or Data Lineage also fall into the framework.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-governance-framework
Data Governance Working Group,"A Data Governance Working Group, as the name applies, is a working group focussed on Data Governance. It typically sits under a Data Governance Committee and typically meets more frequently. Rather than the Data Owners populating the Data Governance Committee, the Data Governance Working Group has Data Stewards as its primary members; but some people will attend both (e.g. both would typically be chaired by someone like a Head of Data Governance).",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-governance-working-group
Data Ingestion,"The process of bringing raw, untransformed Data into a Big Data repository, such as a Data Lake.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-ingestion
Data Integration,"Bringing together Data from different sources into a cohesive whole. This can involve processes like Extract Transform and Load, creating Views combining multiple tables in a Relational Database, or generating new physical Data structures duplicating several existing ones in Hadoop.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-integration
Data Integrity,"Related to the concept of Data Quality, but generally thought of as more holistic in nature. For example, server malfunction or fires in Data Centres would be something that a Data Integrity specialist might worry about. In addition, while some people use the two terms interchangeably, but Data Integrity often emphasises not only the correctness and completeness of individual Data items, but that they are related properly to other relevant Data items, encompassing things like Referential Integrity. An area of focus for Data teams is often to preserve Data Integrity through the processes of it being collated with other Data and transformed to either adhere to a consistent Data Model or to better represent actual business events.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-integrity
Data Issue Management (DIM),"This is a part of a Data Governance Framework and refers to processes, systems and meetings surrounding Data Issues. Data Issue Management encompasses the capture of Data Issues in a register, their investigation / analysis, design (and costing) of remedial actions, the prioritisation of these (often by a Data Governance Committee) and oversight of work to address the issue. DIM also includes tracking and reporting on Data Issues.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-issue-management
Data Lake,A Big Data repository in to which copies of source systems are periodically replicated. The Data Lake is the one of the resources that Data Scientists leverage to create Insight.,Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-lake
Data Lineage,"There may be a long and circuitous trip from when Data is first entered into a System of Record (or interfaced into it) and it appearing on – for example – a Dashboard. Data Lineage is about documenting this journey. Thus it will first describe where Data was initially captured, in which system, table and field. Next it will cover how this Data has moved about, for example, being interfaced to a second system, or picked up and transferred by ETL code. In particular Data Lineage will also catalogue any changes to Data, for example Data Cleansing, or the allocation of values to empty fields etc. Data Lineage can be thought of as a genealogy of Data items appearing in reports and analyses.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-lineage
Data Management,"The day-to-day management of Data within an organisation, which encompasses areas such as Data Architecture, Data Quality, Data Governance (normally on behalf of a Data Governance Committee) and often some elements of Data provision and / or regular reporting. The objective is to appropriately manage the lifecycle of Data throughout the entire organisation, which both ensures the reliability of Data and enables it to become a valuable and strategic asset.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-management
Data Marketplace,"An adapted version of a Data Lake which is distinguished by being Curated, both by experts and – to a more limited degree – regular users; by having a robust Catalogue of Data-sets, which again users can help to maintain; and by having a front-end analogous to an on-line store where users can search for Data, access it and provide feedback / ratings on its usefulness, helping others to zero in on the most valuable and pertinent Data-sets. Think Amazon for Data.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-marketplace
Data Mart,"Part of a Data Warehouse devoted to a specific subject area, e.g. Finance, Sales etc.",Analytics,https://peterjamesthomas.com/data-and-analytics-dictionary/#data-mart
